volume,page,entry_number,image_number,url,source
2,533–38,266,532,https://archive.org/details/mqk-altikulac/page/n532/mode/1up,bibliographic_citations (id=10)
2,539–40,278,538,https://archive.org/details/mqk-altikulac/page/n538/mode/1up,bibliographic_citations (id=5)
2,563–64,286,562,https://archive.org/details/mqk-altikulac/page/n562/mode/1up,bibliographic_citations (id=28)
2,565,289,564,https://archive.org/details/mqk-altikulac/page/n564/mode/1up,bibliographic_citations (id=22)
2,566–68,290,565,https://archive.org/details/mqk-altikulac/page/n565/mode/1up,bibliographic_citations (id=36)
2,578–83,299,577,https://archive.org/details/mqk-altikulac/page/n577/mode/1up,bibliographic_citations (id=46)
2,603–5,323,602,https://archive.org/details/mqk-altikulac/page/n602/mode/1up,bibliographic_citations (id=41)
2,626–27,445,625,https://archive.org/details/mqk-altikulac/page/n625/mode/1up,bibliographic_citations (id=143)
2,634,358,633,https://archive.org/details/mqk-altikulac/page/n633/mode/1up,bibliographic_citations (id=95)
2,643,362,642,https://archive.org/details/mqk-altikulac/page/n642/mode/1up,bibliographic_citations (id=54)
2,660,384,659,https://archive.org/details/mqk-altikulac/page/n659/mode/1up,bibliographic_citations (id=79)
2,662–64,387,661,https://archive.org/details/mqk-altikulac/page/n661/mode/1up,bibliographic_citations (id=83)
2,677–78,394,676,https://archive.org/details/mqk-altikulac/page/n676/mode/1up,bibliographic_citations (id=97)
2,678,404,677,https://archive.org/details/mqk-altikulac/page/n677/mode/1up,bibliographic_citations (id=75)
2,698–99,416,697,https://archive.org/details/mqk-altikulac/page/n697/mode/1up,bibliographic_citations (id=108)
2,699–700,417,698,https://archive.org/details/mqk-altikulac/page/n698/mode/1up,bibliographic_citations (id=137)
2,717,434,716,https://archive.org/details/mqk-altikulac/page/n716/mode/1up,bibliographic_citations (id=125)
2,719–20,436,718,https://archive.org/details/mqk-altikulac/page/n718/mode/1up,bibliographic_citations (id=131)
2,728,447,727,https://archive.org/details/mqk-altikulac/page/n727/mode/1up,bibliographic_citations (id=153)
2,730,450,729,https://archive.org/details/mqk-altikulac/page/n729/mode/1up,bibliographic_citations (id=230)
2,733–34,455,732,https://archive.org/details/mqk-altikulac/page/n732/mode/1up,bibliographic_citations (id=161)
2,735–36,456,734,https://archive.org/details/mqk-altikulac/page/n734/mode/1up,bibliographic_citations (id=157)
2,751–52,473,750,https://archive.org/details/mqk-altikulac/page/n750/mode/1up,bibliographic_citations (id=170)
2,755–56,479,754,https://archive.org/details/mqk-altikulac/page/n754/mode/1up,bibliographic_citations (id=180)
2,761,485,760,https://archive.org/details/mqk-altikulac/page/n760/mode/1up,bibliographic_citations (id=188)
2,766–71,491,765,https://archive.org/details/mqk-altikulac/page/n765/mode/1up,bibliographic_citations (id=215)
2,773–81,495,772,https://archive.org/details/mqk-altikulac/page/n772/mode/1up,bibliographic_citations (id=201)
2,790,505,789,https://archive.org/details/mqk-altikulac/page/n789/mode/1up,bibliographic_citations (id=197)
2,791–92,506,790,https://archive.org/details/mqk-altikulac/page/n790/mode/1up,bibliographic_citations (id=226)
2,801–2,514,800,https://archive.org/details/mqk-altikulac/page/n800/mode/1up,bibliographic_citations (id=249)
2,803–4,516,802,https://archive.org/details/mqk-altikulac/page/n802/mode/1up,bibliographic_citations (id=223)
2,805,518,804,https://archive.org/details/mqk-altikulac/page/n804/mode/1up,bibliographic_citations (id=237)
2,815–20,529,814,https://archive.org/details/mqk-altikulac/page/n814/mode/1up,bibliographic_citations (id=264)
