volume,page,entry_number,image_number,url,source
2,824–25,535,823,https://archive.org/details/mqk-altikulac/page/n823/mode/1up,bibliographic_citations (id=278)
2,827–30,539,826,https://archive.org/details/mqk-altikulac/page/n826/mode/1up,bibliographic_citations (id=287)
2,835,545,834,https://archive.org/details/mqk-altikulac/page/n834/mode/1up,bibliographic_citations (id=269)
2,849,559,848,https://archive.org/details/mqk-altikulac/page/n848/mode/1up,bibliographic_citations (id=303)
2,853,564,852,https://archive.org/details/mqk-altikulac/page/n852/mode/1up,bibliographic_citations (id=299)
2,858–60,570,857,https://archive.org/details/mqk-altikulac/page/n857/mode/1up,bibliographic_citations (id=312)
2,860–61,571,859,https://archive.org/details/mqk-altikulac/page/n859/mode/1up,bibliographic_citations (id=307)
2,862–64,572,861,https://archive.org/details/mqk-altikulac/page/n861/mode/1up,bibliographic_citations (id=318)
2,866,575,865,https://archive.org/details/mqk-altikulac/page/n865/mode/1up,bibliographic_citations (id=258)
2,876,587,875,https://archive.org/details/mqk-altikulac/page/n875/mode/1up,bibliographic_citations (id=323)
2,897–09,609,896,https://archive.org/details/mqk-altikulac/page/n896/mode/1up,bibliographic_citations (id=295)
2,902–3,613,901,https://archive.org/details/mqk-altikulac/page/n901/mode/1up,bibliographic_citations (id=335)
2,909–11,623,908,https://archive.org/details/mqk-altikulac/page/n908/mode/1up,bibliographic_citations (id=340)
2,912–15,915,911,https://archive.org/details/mqk-altikulac/page/n911/mode/1up,bibliographic_citations (id=354)
2,935–36,653,934,https://archive.org/details/mqk-altikulac/page/n934/mode/1up,bibliographic_citations (id=376)
2,945–46,662,944,https://archive.org/details/mqk-altikulac/page/n944/mode/1up,bibliographic_citations (id=367)
2,952–53,671,951,https://archive.org/details/mqk-altikulac/page/n951/mode/1up,bibliographic_citations (id=362)
2,958–59,679,957,https://archive.org/details/mqk-altikulac/page/n957/mode/1up,bibliographic_citations (id=380)
2,960–63,781,959,https://archive.org/details/mqk-altikulac/page/n959/mode/1up,bibliographic_citations (id=371)
2,986–87,709,985,https://archive.org/details/mqk-altikulac/page/n985/mode/1up,"author_bios.csv (row 14, author=b. al-tārīḫ maḥfūẓ b. ʿabd al-bāqī b. al-ḥusayn al)"
